"","date","station","do","do_sat","doy","year","month"
"123",1991-06-05,"27",NA,NA,156,1991,6
"124",1991-06-05,"30",NA,NA,156,1991,6
"125",1991-06-05,"32",NA,NA,156,1991,6
"126",1991-06-05,"649",NA,NA,156,1991,6
"127",1991-06-05,"657",NA,NA,156,1991,6
"128",1991-07-10,"6",NA,NA,191,1991,7
"129",1991-08-01,"3",NA,NA,213,1991,8
"130",1991-08-01,"6",NA,NA,213,1991,8
"131",1991-08-01,"9",NA,NA,213,1991,8
"132",1991-08-01,"13",NA,NA,213,1991,8
"133",1991-08-01,"15",NA,NA,213,1991,8
"134",1991-08-01,"18",NA,NA,213,1991,8
"135",1991-08-01,"649",NA,NA,213,1991,8
"136",1991-08-01,"657",NA,NA,213,1991,8
"137",1991-08-02,"24",NA,NA,214,1991,8
"138",1991-08-02,"27",NA,NA,214,1991,8
"139",1991-08-02,"30",NA,NA,214,1991,8
"140",1991-08-02,"32",NA,NA,214,1991,8
"141",1991-09-30,"3",NA,NA,273,1991,9
"142",1991-09-30,"6",NA,NA,273,1991,9
"143",1991-09-30,"13",NA,NA,273,1991,9
"144",1991-09-30,"15",NA,NA,273,1991,9
"145",1991-09-30,"18",NA,NA,273,1991,9
"146",1991-09-30,"21",NA,NA,273,1991,9
"147",1991-09-30,"22",NA,NA,273,1991,9
"148",1991-09-30,"24",NA,NA,273,1991,9
"149",1991-09-30,"27",NA,NA,273,1991,9
"150",1991-09-30,"30",NA,NA,273,1991,9
"151",1991-09-30,"649",NA,NA,273,1991,9
"152",1991-09-30,"657",NA,NA,273,1991,9
"153",1991-11-20,"3",NA,NA,324,1991,11
"154",1991-11-20,"6",NA,NA,324,1991,11
"155",1991-11-20,"9",NA,NA,324,1991,11
"156",1991-11-20,"13",NA,NA,324,1991,11
"157",1991-11-20,"15",NA,NA,324,1991,11
"158",1991-11-20,"18",NA,NA,324,1991,11
"159",1991-11-20,"21",NA,NA,324,1991,11
"160",1991-11-20,"22",NA,NA,324,1991,11
"161",1991-11-20,"24",NA,NA,324,1991,11
"162",1991-11-20,"27",NA,NA,324,1991,11
"163",1991-11-20,"30",NA,NA,324,1991,11
"164",1991-11-20,"649",NA,NA,324,1991,11
"165",1991-11-20,"657",NA,NA,324,1991,11
