"date","station","param","value"
1970-07-31,24,"NO32",22.8
1970-07-31,24,"P",5.2
1970-07-31,30,"S",30.5
1970-07-31,30,"T",20.8
1970-07-31,30,"NO32",29.6
1970-07-31,30,"P",14.4
1970-07-31,32,"S",30.5
1970-07-31,32,"T",20.9
1970-07-31,32,"NO32",33.9
1970-07-31,32,"P",15.8
1970-07-31,34,"S",28.8
1970-07-31,34,"T",21.4
1970-07-31,34,"NO32",50.2
1970-07-31,34,"P",29.2
1970-07-31,36,"S",28.2
1970-07-31,36,"T",21.3
1970-07-31,36,"NO32",56
1970-07-31,36,"P",34.8
1970-09-29,30,"S",31.3
1970-09-29,30,"T",19.6
1970-09-29,32,"S",31.5
1970-09-29,32,"T",20.6
1970-09-29,34,"S",31.1
1970-09-29,34,"T",21.2
1970-09-29,36,"S",30.4
1970-09-29,36,"T",21.2
1970-09-30,30,"S",31
1970-09-30,30,"T",20
1970-09-30,30,"NO32",17.9
1970-09-30,30,"P",12.8
1970-09-30,30,"SI",64
1970-09-30,32,"S",31.5
1970-09-30,32,"T",20.4
1970-09-30,34,"S",30.4
1970-09-30,34,"T",21.2
1970-09-30,34,"NO32",23.1
1970-09-30,34,"P",19.6
1970-09-30,34,"SI",86
1970-09-30,36,"S",30.8
1970-09-30,36,"T",21.2
1970-09-30,36,"NO32",36.6
1970-09-30,36,"P",27.7
1970-09-30,36,"SI",100
1970-10-01,21,"S",30.5
1970-10-01,21,"T",14.7
1970-10-01,21,"NO32",17.8
1970-10-01,21,"SI",44
1970-10-01,22,"S",29.7
1970-10-01,22,"T",15.4
1970-10-01,24,"S",29.7
1970-10-01,24,"T",17.7
1970-10-01,30,"S",31.5
1970-10-01,30,"T",20.3
1970-10-02,21,"S",30
1970-10-02,21,"T",15.2
1970-10-02,22,"S",28.8
1970-10-02,22,"T",15.5
1970-10-02,24,"S",28.7
1970-10-02,24,"T",16.1
1970-12-23,21,"S",18
1970-12-23,21,"T",10
1970-12-23,22,"S",19
1970-12-23,22,"T",10.1
1970-12-23,22,"NO32",22.9
1970-12-23,22,"P",3.8
1970-12-23,24,"S",17.4
1970-12-23,24,"T",10
1970-12-23,24,"NO32",24.5
1970-12-23,24,"P",4
1970-12-23,27,"S",19.8
1970-12-23,27,"T",10
1970-12-23,30,"S",20.4
1970-12-23,30,"T",10
1970-12-23,32,"S",19.9
1970-12-23,32,"T",9.5
1970-12-23,32,"NO32",52
1970-12-23,32,"P",16.3
1970-12-23,34,"S",19.2
1970-12-23,34,"T",9.5
1970-12-23,36,"S",18.4
1970-12-23,36,"T",9.5
1970-12-23,36,"NO32",62.3
1970-12-23,36,"P",22.5
1971-03-02,22,"S",26
1971-03-02,22,"T",10
1971-03-02,22,"NO32",26.5
1971-03-02,22,"P",4.3
1971-03-02,24,"S",24.5
1971-03-02,24,"T",10
1971-03-02,30,"S",20.8
1971-03-02,30,"T",9.2
1971-03-02,32,"S",19.5
1971-03-02,32,"T",9
1971-03-02,32,"NO32",62.9
1971-03-02,32,"P",14.4
1971-03-02,36,"S",18.5
1971-03-02,36,"T",8.8
1971-03-02,36,"NO32",72.6
1971-03-02,36,"P",23.3
1971-05-13,21,"DOsat",102
1971-05-13,21,"S",23
1971-05-13,21,"T",14.5
1971-05-13,22,"DOsat",99
1971-05-13,22,"S",25.5
1971-05-13,22,"T",13
1971-05-13,24,"DOsat",96
1971-05-13,24,"S",25.8
1971-05-13,24,"T",14.5
1971-05-13,24,"NO32",18.3
1971-05-13,24,"P",4.3
1971-05-13,24,"SI",83
1971-05-13,30,"DOsat",95
1971-05-13,30,"S",23.6
1971-05-13,30,"T",16.3
1971-05-13,30,"SI",68
1971-05-13,32,"DOsat",96
1971-05-13,32,"S",23
1971-05-13,32,"T",17.5
1971-05-13,32,"SI",56
1971-05-13,34,"DOsat",96
1971-05-13,34,"S",22.9
1971-05-13,34,"T",17.5
1971-05-13,34,"NO32",37.1
1971-05-13,34,"P",16
1971-05-13,34,"SI",66
1971-05-13,36,"DOsat",94
1971-05-13,36,"S",22.5
1971-05-13,36,"T",17.5
1971-06-29,21,"S",27.8
1971-06-29,21,"T",15.6
1971-06-29,22,"S",27.7
1971-06-29,22,"T",15.7
1971-06-29,24,"S",27.2
1971-06-29,24,"T",18.1
1971-06-30,21,"DOsat",95
1971-06-30,21,"S",27.7
1971-06-30,21,"T",15.5
1971-06-30,21,"NO32",22.8
1971-06-30,21,"P",4.6
1971-06-30,21,"SI",88
1971-06-30,22,"DOsat",97
1971-06-30,22,"S",28.2
1971-06-30,22,"T",15.5
1971-06-30,24,"DOsat",116
1971-06-30,24,"S",27.6
1971-06-30,24,"T",16.7
1971-06-30,30,"DOsat",116
1971-06-30,30,"S",26.4
1971-06-30,30,"T",19.6
1971-06-30,30,"NO32",25.5
1971-06-30,30,"P",11.4
1971-06-30,32,"DOsat",127
1971-06-30,32,"S",26.4
1971-06-30,32,"T",19.9
1971-06-30,32,"NO32",17.7
1971-06-30,32,"P",12
1971-06-30,34,"DOsat",121
1971-06-30,34,"S",25.8
1971-06-30,34,"T",20.1
1971-06-30,34,"NO32",31.3
1971-06-30,34,"P",17.8
1971-06-30,36,"DOsat",112
1971-06-30,36,"S",24.8
1971-06-30,36,"T",20.3
1971-06-30,36,"NO32",66.6
1971-06-30,36,"P",33.9
1971-06-30,36,"SI",116
1971-08-04,21,"DOsat",97
1971-08-04,21,"S",29.2
1971-08-04,21,"T",17.5
1971-08-04,21,"NO32",21.2
1971-08-04,21,"P",5.4
1971-08-04,21,"SI",71.6
1971-08-04,22,"DOsat",97
1971-08-04,22,"S",29.4
1971-08-04,22,"T",17.5
1971-08-04,22,"NO32",20.8
1971-08-04,22,"P",5
1971-08-04,22,"SI",71.3
1971-08-04,24,"DOsat",97
1971-08-04,24,"S",29.2
1971-08-04,24,"T",17.5
1971-08-04,24,"NO32",18.5
1971-08-04,24,"P",6
1971-08-04,24,"SI",79
1971-08-04,27,"DOsat",101
1971-08-04,27,"S",28.6
1971-08-04,27,"T",19.6
1971-08-04,27,"NO32",18.8
1971-08-04,27,"P",8.4
1971-08-04,27,"SI",83.7
1971-08-04,30,"DOsat",98
1971-08-04,30,"S",28
1971-08-04,30,"T",21
1971-08-04,30,"NO32",16.2
1971-08-04,30,"P",11.9
1971-08-04,30,"SI",75.7
1971-08-04,32,"DOsat",98
1971-08-04,32,"S",27.8
1971-08-04,32,"T",22
1971-08-04,32,"NO32",21.4
1971-08-04,32,"P",14.8
1971-08-04,32,"SI",79.5
1971-08-04,34,"DOsat",94
1971-08-04,34,"S",26.3
1971-08-04,34,"T",22.5
1971-08-04,34,"NO32",39.5
1971-08-04,34,"P",24.3
1971-08-04,34,"SI",96.6
1971-08-04,36,"DOsat",85
1971-08-04,36,"S",25.6
1971-08-04,36,"T",22.5
1971-08-04,36,"NO32",56.6
1971-08-04,36,"P",32.3
1971-08-04,36,"SI",101
1971-09-13,21,"DOsat",93
1971-09-13,21,"S",27.7
1971-09-13,21,"T",18.5
1971-09-13,21,"NO32",14.1
1971-09-13,21,"P",4
1971-09-13,21,"SI",73
1971-09-13,22,"DOsat",91
1971-09-13,22,"S",28.4
1971-09-13,22,"T",18
1971-09-13,22,"NO32",14.4
1971-09-13,22,"P",4
1971-09-13,22,"SI",70
1971-09-13,24,"DOsat",95
1971-09-13,24,"S",27.9
1971-09-13,24,"T",20
1971-09-13,27,"DOsat",95
1971-09-13,27,"S",29.4
1971-09-13,27,"T",21
1971-09-13,27,"NO32",19.6
1971-09-13,27,"P",8.3
1971-09-13,27,"SI",101
1971-09-13,30,"DOsat",96
1971-09-13,30,"S",28.9
1971-09-13,30,"T",23
1971-09-13,30,"NO32",30.7
1971-09-13,30,"P",18.5
1971-09-13,30,"SI",122
1971-09-13,32,"DOsat",100
1971-09-13,32,"S",28.4
1971-09-13,32,"T",23.8
1971-09-13,32,"NO32",39.2
1971-09-13,32,"P",23.7
1971-09-13,32,"SI",129
1971-09-13,34,"DOsat",96
1971-09-13,34,"S",28.1
1971-09-13,34,"T",24.5
1971-09-13,34,"NO32",54.5
1971-09-13,34,"P",32.7
1971-09-13,34,"SI",136
1971-09-13,36,"DOsat",88
1971-09-13,36,"S",26.5
1971-09-13,36,"T",24.5
1971-09-13,36,"NO32",61
1971-09-13,36,"P",37.6
1971-09-13,36,"SI",139
1971-09-17,21,"DOsat",84.5
1971-09-17,21,"S",27.35
1971-09-17,21,"T",18
1971-09-17,21,"NO32",15.35
1971-09-17,21,"P",4.7
1971-09-17,21,"SI",70.5
1971-09-17,22,"DOsat",67
1971-09-17,22,"T",18.5
1971-09-17,24,"DOsat",70
1971-09-17,24,"T",21
1971-09-17,24,"NO32",18.3
1971-09-17,24,"P",6.8
1971-09-17,24,"SI",91
1971-09-17,27,"DOsat",97
1971-09-17,27,"S",29.1
1971-09-17,27,"T",21
1971-09-17,27,"NO32",16.3
1971-09-17,27,"P",7.3
1971-09-17,27,"SI",90.5
1971-09-17,30,"DOsat",81.5
1971-09-17,30,"S",29.1
1971-09-17,30,"T",22.5
1971-09-17,30,"NO32",29.75
1971-09-17,30,"P",14.8
1971-09-17,30,"SI",119.5
1971-09-17,32,"DOsat",87.5
1971-09-17,32,"S",28.85
1971-09-17,32,"T",23.25
1971-09-17,32,"NO32",34.9
1971-09-17,32,"P",18.1
1971-09-17,32,"SI",128.5
1971-09-17,34,"DOsat",83
1971-09-17,34,"S",28.5
1971-09-17,34,"T",23.5
1971-09-17,34,"NO32",37.2
1971-09-17,34,"P",20.9
1971-09-17,34,"SI",134
1971-09-17,36,"DOsat",73
1971-09-17,36,"S",27.95
1971-09-17,36,"T",24.25
1971-09-17,36,"NO32",52.45
1971-09-17,36,"P",28.85
1971-09-17,36,"SI",141
1971-09-24,21,"DOsat",90
1971-09-24,21,"S",27.3
1971-09-24,21,"T",17.5
1971-09-24,21,"NO32",14.3
1971-09-24,21,"SI",66
1971-09-24,22,"DOsat",87
1971-09-24,22,"S",27.3
1971-09-24,22,"T",18.2
1971-09-24,22,"NO32",14.4
1971-09-24,22,"SI",67
1971-09-24,24,"DOsat",88
1971-09-24,24,"S",28
1971-09-24,24,"T",19.7
1971-09-24,24,"NO32",17.1
1971-09-24,24,"P",7.1
1971-09-24,24,"SI",92
1971-09-24,27,"DOsat",87
1971-09-24,27,"S",29.1
1971-09-24,27,"T",20.4
1971-09-24,27,"NO32",20
1971-09-24,27,"P",11.4
1971-09-24,27,"SI",110
1971-09-24,30,"DOsat",80
1971-09-24,30,"S",29.1
1971-09-24,30,"T",21
1971-09-24,30,"NO32",29.7
1971-09-24,30,"P",17.7
1971-09-24,30,"SI",130
1971-09-24,32,"DOsat",82
1971-09-24,32,"S",29
1971-09-24,32,"T",21.1
1971-09-24,32,"NO32",34.5
1971-09-24,32,"P",21.9
1971-09-24,34,"DOsat",81
1971-09-24,34,"S",28.4
1971-09-24,34,"T",21
1971-09-24,34,"NO32",42.6
1971-09-24,34,"P",27.5
1971-09-24,34,"SI",144
1971-09-24,36,"DOsat",76
1971-09-24,36,"S",27.5
1971-09-24,36,"T",21
1971-09-24,36,"NO32",54.5
1971-09-24,36,"P",34.4
1971-09-24,36,"SI",151
1971-12-07,21,"S",28.6
1971-12-07,21,"T",10.5
1971-12-07,21,"NO32",21
1971-12-07,21,"P",3.3
1971-12-07,21,"SI",68
1971-12-07,22,"S",28
1971-12-07,22,"T",10.5
1971-12-07,22,"NO32",21
1971-12-07,22,"P",3.2
1971-12-07,22,"SI",70
1971-12-07,24,"S",28.6
1971-12-07,24,"T",10.7
1971-12-07,24,"NO32",27.2
1971-12-07,24,"P",8.1
1971-12-07,24,"SI",100
1971-12-07,27,"S",28.4
1971-12-07,27,"T",10.5
1971-12-07,27,"NO32",34.4
1971-12-07,27,"SI",113
1971-12-09,18,"DOsat",85
1971-12-09,18,"S",28
1971-12-09,18,"T",9.8
1971-12-09,21,"DOsat",86
1971-12-09,21,"S",27.2
1971-12-09,21,"T",9.85
1971-12-09,21,"NO32",20
1971-12-09,21,"P",3.3
1971-12-09,21,"SI",72
1971-12-09,22,"DOsat",89
1971-12-09,22,"S",27.1
1971-12-09,22,"T",9.8
1971-12-09,22,"NO32",20.7
1971-12-09,22,"P",3.3
1971-12-09,22,"SI",76
1971-12-09,24,"DOsat",94
1971-12-09,24,"S",28.2
1971-12-09,24,"T",10.1
1971-12-09,24,"NO32",26.9
1971-12-09,24,"P",6.3
1971-12-09,24,"SI",96
1971-12-09,27,"DOsat",94.5
1971-12-09,27,"S",28.5
1971-12-09,27,"T",9.95
1971-12-09,27,"NO32",37.2
1971-12-09,27,"P",11.45
1971-12-09,27,"SI",113.5
1971-12-09,30,"DOsat",94
1971-12-09,30,"S",28
1971-12-09,30,"T",9.4
1971-12-09,30,"NO32",54.6
1971-12-09,30,"P",15.65
1971-12-09,30,"SI",124
1971-12-09,32,"DOsat",92
1971-12-09,32,"S",27.3
1971-12-09,32,"T",8.9
1971-12-09,32,"NO32",77.6
1971-12-09,32,"P",22.6
1971-12-09,32,"SI",130
1971-12-09,34,"DOsat",90
1971-12-09,34,"S",26.2
1971-12-09,34,"T",8.8
1971-12-09,34,"NO32",97.7
1971-12-09,34,"P",29
1971-12-09,34,"SI",153
1971-12-09,36,"DOsat",85
1971-12-09,36,"S",24.8
1971-12-09,36,"T",8.8
1971-12-09,36,"NO32",108.5
1971-12-09,36,"P",36.4
1971-12-09,36,"SI",165
1972-02-01,21,"DOsat",92
1972-02-01,21,"S",27
1972-02-01,21,"T",8.8
1972-02-01,21,"NO32",20.8
1972-02-01,21,"P",3.3
1972-02-01,21,"SI",66
1972-02-01,22,"DOsat",92
1972-02-01,22,"S",27.4
1972-02-01,22,"T",8.9
1972-02-01,22,"NO32",21.2
1972-02-01,22,"P",3
1972-02-01,22,"SI",68
1972-02-01,24,"DOsat",92
1972-02-01,24,"S",26.8
1972-02-01,24,"T",8.8
1972-02-01,24,"NO32",22.7
1972-02-01,24,"P",3.1
1972-02-01,24,"SI",71
1972-02-01,27,"DOsat",98
1972-02-01,27,"S",26.8
1972-02-01,27,"T",8.5
1972-02-01,27,"NO32",33.2
1972-02-01,27,"P",6.6
1972-02-01,27,"SI",92
1972-02-01,30,"S",26.2
1972-02-01,30,"T",8.6
1972-02-04,21,"DOsat",93.5
1972-02-04,21,"S",26
1972-02-04,21,"T",8.6
1972-02-04,21,"NO32",24.2
1972-02-04,21,"P",3.6
1972-02-04,21,"SI",87
1972-02-04,22,"DOsat",91
1972-02-04,22,"S",26.2
1972-02-04,22,"T",8.7
1972-02-04,22,"NO32",23.5
1972-02-04,22,"P",2.8
1972-02-04,22,"SI",84
1972-02-04,24,"DOsat",93.5
1972-02-04,24,"S",26.8
1972-02-04,24,"T",8.8
1972-02-04,24,"NO32",27.9
1972-02-04,24,"P",5.2
1972-02-04,24,"SI",89
1972-02-04,27,"DOsat",95
1972-02-04,27,"S",26.7
1972-02-04,27,"T",8.6
1972-02-04,27,"NO32",35.9
1972-02-04,27,"P",8.2
1972-02-04,27,"SI",93
1972-02-04,30,"DOsat",91
1972-02-04,30,"S",26.1
1972-02-04,30,"T",8.5
1972-02-04,30,"NO32",54.3
1972-02-04,30,"P",12.8
1972-02-04,30,"SI",114
1972-02-04,32,"DOsat",90
1972-02-04,32,"S",25.4
1972-02-04,32,"T",8.6
1972-02-04,32,"NO32",67.6
1972-02-04,32,"P",16.3
1972-02-04,32,"SI",121
1972-02-04,34,"DOsat",88
1972-02-04,34,"S",24.9
1972-02-04,34,"T",8.3
1972-02-04,34,"NO32",77.4
1972-02-04,34,"P",18.1
1972-02-04,34,"SI",125
1972-02-04,36,"S",24.1
1972-02-04,36,"T",8.3
1972-04-03,21,"DOsat",85.5
1972-04-03,21,"S",28.1
1972-04-03,21,"T",12.95
1972-04-03,21,"NO32",15.4
1972-04-03,21,"NH4",4.8
1972-04-03,21,"P",2.5
1972-04-03,21,"din",20.2
1972-04-03,22,"DOsat",87
1972-04-03,22,"S",28
1972-04-03,22,"T",13
1972-04-03,22,"NO32",15.5
1972-04-03,22,"NH4",4.4
1972-04-03,22,"P",2.4
1972-04-03,22,"din",19.9
1972-04-03,24,"DOsat",83
1972-04-03,24,"S",28.25
1972-04-03,24,"T",13.1
1972-04-03,24,"NO32",14.7
1972-04-03,24,"NH4",5.8
1972-04-03,24,"P",2.7
1972-04-03,24,"din",20.5
1972-04-03,27,"DOsat",95.5
1972-04-03,27,"S",26.45
1972-04-03,27,"T",14.6
1972-04-03,27,"NO32",12.8
1972-04-03,27,"NH4",7.9
1972-04-03,27,"P",5.3
1972-04-03,27,"din",20.7
1972-04-03,30,"DOsat",84
1972-04-03,30,"S",26
1972-04-03,30,"T",14.9
1972-04-03,30,"NO32",19.5
1972-04-03,30,"NH4",10.6
1972-04-03,30,"P",11.8
1972-04-03,30,"din",30.1
1972-04-03,32,"DOsat",87
1972-04-03,32,"S",25.6
1972-04-03,32,"T",15.75
1972-04-03,32,"NO32",33.7
1972-04-03,32,"NH4",11.9
1972-04-03,32,"P",14.9
1972-04-03,32,"din",45.6
1972-04-03,34,"DOsat",72
1972-04-03,34,"S",24.4
1972-04-03,34,"T",16.1
1972-04-03,34,"NO32",73.5
1972-04-03,34,"NH4",49.8
1972-04-03,34,"P",31
1972-04-03,34,"din",123.3
1972-04-03,36,"DOsat",60
1972-04-03,36,"S",23.25
1972-04-03,36,"T",16.05
1972-04-03,36,"NO32",98.3
1972-04-03,36,"NH4",90.8
1972-04-03,36,"P",39.3
1972-04-03,36,"din",189.1
1972-04-13,21,"DOsat",89
1972-04-13,21,"S",28.15
1972-04-13,21,"T",13.2
1972-04-13,21,"NO32",13.8
1972-04-13,21,"NH4",5.7
1972-04-13,21,"P",3.9
1972-04-13,21,"SI",54
1972-04-13,21,"din",19.5
1972-04-13,22,"DOsat",92
1972-04-13,22,"S",27.7
1972-04-13,22,"T",13.5
1972-04-13,22,"NO32",14
1972-04-13,22,"NH4",5.4
1972-04-13,22,"P",4.5
1972-04-13,22,"SI",59
1972-04-13,22,"din",19.4
1972-04-13,24,"DOsat",93
1972-04-13,24,"S",27.8
1972-04-13,24,"T",13.3
1972-04-13,24,"NO32",14.6
1972-04-13,24,"NH4",6.3
1972-04-13,24,"P",3.9
1972-04-13,24,"SI",58
1972-04-13,24,"din",20.9
1972-04-13,27,"DOsat",88.5
1972-04-13,27,"S",26.5
1972-04-13,27,"T",14.35
1972-04-13,27,"NO32",19.1
1972-04-13,27,"NH4",8.6
1972-04-13,27,"P",7.7
1972-04-13,27,"SI",52
1972-04-13,27,"din",27.7
1972-04-13,30,"DOsat",88
1972-04-13,30,"S",26.2
1972-04-13,30,"T",14
1972-04-13,30,"NO32",27.4
1972-04-13,30,"NH4",8.5
1972-04-13,30,"P",11.5
1972-04-13,30,"SI",33
1972-04-13,30,"din",35.9
1972-04-13,32,"DOsat",87.5
1972-04-13,32,"S",25.7
1972-04-13,32,"T",13.9
1972-04-13,32,"NO32",44.9
1972-04-13,32,"NH4",11.7
1972-04-13,32,"P",16.6
1972-04-13,32,"SI",72
1972-04-13,32,"din",56.6
1972-04-13,34,"DOsat",86
1972-04-13,34,"S",25.4
1972-04-13,34,"T",13.6
1972-04-13,34,"NO32",59.1
1972-04-13,34,"NH4",15.1
1972-04-13,34,"P",20.1
1972-04-13,34,"din",74.2
1972-04-13,36,"DOsat",83
1972-04-13,36,"S",24.9
1972-04-13,36,"T",13.65
1972-04-13,36,"NO32",76.8
1972-04-13,36,"NH4",25
1972-04-13,36,"P",25.4
1972-04-13,36,"SI",78
1972-04-13,36,"din",101.8
1972-06-15,21,"DOsat",93
1972-06-15,21,"S",31.6
1972-06-15,21,"T",16.4
1972-06-15,21,"NO32",13.8
1972-06-15,21,"P",3.3
1972-06-15,21,"SI",38.8
1972-06-15,22,"DOsat",94
1972-06-15,22,"S",31.1
1972-06-15,22,"T",16.4
1972-06-15,22,"NO32",13.4
1972-06-15,22,"P",3.5
1972-06-15,22,"SI",34.9
1972-06-15,24,"DOsat",92
1972-06-15,24,"S",31.1
1972-06-15,24,"T",16.8
1972-06-15,24,"NO32",11.8
1972-06-15,24,"P",3.9
1972-06-15,24,"SI",39.2
1972-06-15,27,"DOsat",91
1972-06-15,27,"S",30.3
1972-06-15,27,"T",18.4
1972-06-15,27,"NO32",93
1972-06-15,27,"P",8.1
1972-06-15,27,"SI",29.9
1972-06-15,30,"DOsat",74
1972-06-15,30,"S",29.4
1972-06-15,30,"T",19.6
1972-06-15,30,"NO32",13.5
1972-06-15,30,"P",13.5
1972-06-15,30,"SI",30.6
1972-06-15,32,"DOsat",87
1972-06-15,32,"S",29.3
1972-06-15,32,"T",20
1972-06-15,32,"NO32",24
1972-06-15,32,"P",15.5
1972-06-15,32,"SI",28.3
1972-06-15,34,"DOsat",81
1972-06-15,34,"S",29.1
1972-06-15,34,"T",20.3
1972-06-15,34,"NO32",25.7
1972-06-15,34,"P",18
1972-06-15,34,"SI",32.3
1972-06-15,36,"DOsat",74
1972-06-15,36,"S",29.4
1972-06-15,36,"T",20.2
1972-06-15,36,"NO32",57.4
1972-06-15,36,"P",26.7
1972-06-15,36,"SI",48.3
1972-06-16,21,"DOsat",89.5
1972-06-16,21,"S",30.9
1972-06-16,21,"T",17.2
1972-06-16,21,"NH4",5
1972-06-16,22,"DOsat",91
1972-06-16,22,"S",30.8
1972-06-16,22,"T",17
1972-06-16,22,"NH4",4.4
